,x,π(x) (Prime number upto x),% π(x),sqrt(x),% sqrt(x),% Prime number upto sqrt(x),% Prime number upto sqrt(x),wrt sqrt(x),wrt x
1,10,4,40,3.16,31.622777,12.649111,2,63.2455532,20
2,100,25,25,10.00,10.000000,2.500000,4,40,4
3,1000,168,16.8,31.62,3.162278,0.531263,11,34.78505426,1.1
4,10000,"1,229",12.29,100.00,1.000000,0.122900,25,25,0.25
5,100000,"9,592",9.592,316.23,0.316228,0.030333,65,20.55480479,0.065
6,1000000,"78,498",7.8498,1000.00,0.100000,0.007850,168,16.8,0.0168
7,10000000,"664,579",6.64579,3162.28,0.031623,0.002102,446,14.10375836,0.00446
8,100000000,"5,761,455",5.761455,10000.00,0.010000,0.000576,1229,12.29,0.001229
9,1000000000,"50,847,534",5.0847534,31622.78,0.003162,0.000161,3401,10.75490632,0.0003401
10,10000000000,"455,052,511",4.55052511,100000.00,0.001000,0.000046,9592,9.592,0.00009592
11,100000000000,"4,118,054,813",4.118054813,316227.77,0.000316,0.000013,27293,8.630804418,0.000027293
12,1000000000000,"37,607,912,018",3.760791202,1000000.00,0.000100,0.000004,78498,7.8498,7.8498E-06
13,10000000000000,"346,065,536,839",3.460655368,3162277.66,0.000032,0.000001,227647,7.198830225,2.27647E-06
14,100000000000000,"3,204,941,750,802",3.204941751,10000000.00,0.000010,0.000000,664579,6.64579,6.64579E-07
15,1000000000000000,"29,844,570,422,669",2.984457042,31622776.60,0.000003,0.000000,1951957,6.172630015,1.95196E-07
16,10000000000000000,"279,238,341,033,925",2.79238341,100000000.00,0.000001,0.000000,5761455,5.761455,5.76146E-08
17,100000000000000000,"2,623,557,157,654,230",2.623557158,316227766.02,0.000000,0.000000,17082669,5.402014255,1.70827E-08
18,1000000000000000000,"24,739,954,287,740,800",2.473995429,1000000000.00,0.000000,0.000000,,0,0
19,10000000000000000000,"234,057,667,276,344,000",2.340576673,3162277660.17,0.000000,0.000000,,0,0
20,100000000000000000000,"2,220,819,602,560,910,000",2.220819603,10000000000.00,0.000000,0.000000,,0,0
21,1000000000000000000000,"21,127,269,486,018,700,000",2.112726949,31622776601.68,0.000000,0.000000,,0,0
22,10000000000000000000000,"201,467,286,689,315,000,000",2.014672867,100000000000.00,0.000000,0.000000,,0,0
23,100000000000000000000000,"1,925,320,391,606,800,000,000",1.925320392,316227766016.84,0.000000,0.000000,,0,0
24,1000000000000000000000000,"18,435,599,767,349,200,000,000",1.843559977,1000000000000.00,0.000000,0.000000,,0,0
25,10000000000000000000000000,"176,846,309,399,143,000,000,000",1.768463094,3162277660168.38,0.000000,0.000000,,0,0
26,100000000000000000000000000,"1,699,246,750,872,430,000,000,000",1.699246751,10000000000000.00,0.000000,0.000000,,0,0
